"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.0728218240002761,0.0919178946231953,0.0906623556572202,0.0707379935137692,0.0567524477385793,0.0545748336272336,0.0730952696434936,0.199675044976949,0.0966635663450785,0.333168923838078
"ehs-full","abc","FALSE",1267,0.0728218240002761,0.0712739673716765,0.0639752565402628,0.0538835860157839,0.0567524477385793,0.0568599470723161,0.0604209572721022,0.199675044976949,0.260530788788752,0.372498577287891
"ehs-full","abc","TRUE",348,0.142709759188846,0.163445762310904,0.162002827781545,0.154926715757373,0.0915193310191637,0.0951678535546261,0.0868093213641338,0.119830082928766,0.0887019194945596,0.0743135058338849
"ehsmixed_center","abc","FALSE",768,0.123288602841152,0.116658337213659,0.122198781756187,0.167237232907644,0.0732159896826092,0.0705580605091034,0.0794064548636203,0.0926078870193603,0.0832931941309424,0.0351964342710206
"ehsmixed_center","abc","FALSE",768,0.123288602841152,0.107144057570554,0.107739557139831,0.120651086076184,0.0732159896826092,0.0737999160188284,0.0805700583348437,0.0926078870193603,0.144321061331263,0.134271519697645
"ehsmixed_center","abc","TRUE",245,0.22690996530225,0.258421837332881,0.255407944131479,0.269945590182303,0.101160477791405,0.109084527217901,0.106822674432441,0.0257942025166221,0.0192127833022463,0.0115027116172764
"ehscenter","abc","FALSE",375,0.184036294371582,0.182221189288516,0.186444581594593,0.338339417087123,0.100167808288208,0.0990198314141849,0.102455265452087,0.0669639369315227,0.0597137281949186,0.000958907951320659
"ehscenter","abc","FALSE",375,0.184036294371582,0.190624556872958,0.177256508229044,0.22390361708153,0.100167808288208,0.104520181343298,0.109529471771537,0.0669639369315227,0.0899034918992504,0.040930664015923
"ehscenter","abc","TRUE",110,0.478164854941002,0.513280420293088,0.516185956530129,0.513325571082562,0.141370085475761,0.147432577532327,0.135400128002644,0.00100177018422577,0.00046322687011645,0.000149936298118369
"abc","abc","FALSE",103,0.972460534716981,1.00484873258158,1.00730683631546,1.00481277201319,0.18055647982304,0.18173579184464,0.173750842158118,4.71566498481054e-07,2.9784418847809e-08,7.33508048953426e-09
"abc","abc","FALSE",103,0.972460534716981,0.99904614383276,0.997969902256986,0.999013005235043,0.18055647982304,0.186345179351327,0.17381874222008,4.71566498481054e-07,8.53244667308212e-08,9.06040767918084e-09
"abc","abc","TRUE",98,0.931758239166668,0.949588775725689,0.951238177027899,0.949576147003787,0.181592598815628,0.19288829929779,0.169850564006013,1.50032938128263e-06,8.15799295095315e-07,2.26212791400516e-08
