"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1326,0.0676518420387557,0.0831585434316712,0.0845330371685155,0.087348290884477,0.0550369223609027,0.0529745568837191,0.0640247497409184,0.219212124069784,0.110549308976416,0.172476483633983
"ehs-full","abc","FALSE",1326,0.0676518420387557,0.0666776755855792,0.0635411443780329,0.0546753293980182,0.0550369223609027,0.0548709495422382,0.0632837813032446,0.219212124069784,0.246859687091118,0.38760401619545
"ehs-full","abc","TRUE",354,0.160357100965274,0.170054871059821,0.173346943847242,0.161838092187062,0.0903647866442128,0.0951100163466426,0.0853878106044954,0.076835968235427,0.0683649071002404,0.0580486757414163
"ehsmixed_center","abc","FALSE",778,0.130082152922195,0.120975988338558,0.127966808546069,0.170780481206191,0.0729436435308728,0.0706471719479354,0.0754873341913941,0.0749243272104702,0.0700865730389165,0.0236743885045043
"ehsmixed_center","abc","FALSE",778,0.130082152922195,0.122098278128238,0.124871191380692,0.12119774362257,0.0729436435308728,0.073947191683259,0.0789126190156672,0.0749243272104702,0.0912858326332314,0.1245758023447
"ehsmixed_center","abc","TRUE",242,0.235577170161629,0.256790453717485,0.257598319050709,0.268827651807052,0.102017210253117,0.110410234451731,0.101099618464379,0.0217830609989163,0.0196428019212802,0.00783642975081171
"ehscenter","abc","FALSE",373,0.180581315152818,0.174470590859171,0.178025640089415,0.315698724606716,0.100509764514813,0.098425029941753,0.113713454795803,0.0732038076302021,0.070490850613521,0.00549873103954606
"ehscenter","abc","FALSE",373,0.180581315152818,0.17520714485823,0.163191197163287,0.201476070551265,0.100509764514813,0.102735779639823,0.105706778818111,0.0732038076302021,0.112183413527725,0.056651494256912
"ehscenter","abc","TRUE",109,0.46147440715605,0.499943710313083,0.505852513887112,0.499996359935104,0.142600628803613,0.149383386328493,0.138048151898435,0.00161286909124081,0.000708495794122046,0.000292449153893388
"abc","abc","FALSE",103,0.972460534716981,1.00484873258158,1.00730683631546,1.00481277201319,0.18055647982304,0.18173579184464,0.154024547293562,4.71566498481054e-07,2.9784418847809e-08,6.85854265002802e-11
"abc","abc","FALSE",103,0.972460534716981,0.99904614383276,0.997969902256986,0.999013005235043,0.18055647982304,0.186345179351327,0.172821979341548,4.71566498481054e-07,8.53244667308212e-08,7.44391032608663e-09
"abc","abc","TRUE",98,0.931758239166668,0.949588775725689,0.951238177027899,0.949576147003787,0.181592598815628,0.19288829929779,0.174978446177248,1.50032938128263e-06,8.15799295095315e-07,5.7367634555508e-08
